,Feature,All,Early,Late
0,N (patients),66,36,30
1,age — median,70.00,71.00,68.00
2,age — IQR,64.00-76.00,64.00-77.25,64.00-73.00
3,sex = Female,31 (47),12 (33),19 (63)
4,sex = Male,35 (53),24 (67),11 (37)
5,stage = IA,5 (8),1 (3),4 (13)
6,stage = IB,17 (26),5 (14),12 (40)
7,stage = IIA,11 (17),8 (22),3 (10)
8,stage = IIB,8 (12),6 (17),2 (7)
9,stage = IIIA,25 (38),16 (44),9 (30)
10,smoking_status = current,21 (32),11 (31),10 (33)
11,smoking_status = former,41 (62),24 (67),17 (57)
12,smoking_status = never,4 (6),1 (3),3 (10)
13,ethnicity = Caribbean,1 (2),1 (3),0 (0)
14,ethnicity = Indian,1 (2),1 (3),0 (0)
15,ethnicity = Middle eastern,1 (2),1 (3),0 (0)
16,ethnicity = White- British,57 (86),27 (75),30 (100)
17,ethnicity = White- Irish,2 (3),2 (6),0 (0)
18,ethnicity = White- Other,1 (2),1 (3),0 (0)
19,ethnicity = White-European,3 (5),3 (8),0 (0)
20,ttr — median,369.00,210.50,682.00
21,ttr — IQR,206.75-655.00,167.25-307.75,537.75-930.50
